Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.9099999999999999,0.01,0.4405268257489765
75% Corpus,4,0.9099999999999999,0.31,0.44604620174754517
75% Corpus,4,0.9099999999999999,0.61,0.4480095670593277
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.44552740314234673
75% Corpus,4,0.9099999999999999,symmetric,0.44746815386430744
75% Corpus,4,symmetric,0.01,0.4197302751672282
75% Corpus,4,symmetric,0.31,0.40889421444137747
75% Corpus,4,symmetric,0.61,0.40581396475275355
75% Corpus,4,symmetric,0.9099999999999999,0.42141032827172453
75% Corpus,4,symmetric,symmetric,0.41831787173350543
75% Corpus,4,asymmetric,0.01,0.4143427702717394
75% Corpus,4,asymmetric,0.31,0.375264403239449
75% Corpus,4,asymmetric,0.61,0.3842973830944105
75% Corpus,4,asymmetric,0.9099999999999999,0.37119819104677737
75% Corpus,4,asymmetric,symmetric,0.3912961081524059
75% Corpus,5,0.01,0.01,0.4563989028215668
75% Corpus,5,0.01,0.31,0.4369006119976383
75% Corpus,5,0.01,0.61,0.4350373003383611
75% Corpus,5,0.01,0.9099999999999999,0.42491902409464977
75% Corpus,5,0.01,symmetric,0.43907468372630093
75% Corpus,5,0.31,0.01,0.42915415548800195
75% Corpus,5,0.31,0.31,0.43974279592132903
75% Corpus,5,0.31,0.61,0.4349885196923945
75% Corpus,5,0.31,0.9099999999999999,0.4455018369851049
75% Corpus,5,0.31,symmetric,0.46149122047022706
75% Corpus,5,0.61,0.01,0.44963103414462174
75% Corpus,5,0.61,0.31,0.45149550619955364
75% Corpus,5,0.61,0.61,0.449333357490037
75% Corpus,5,0.61,0.9099999999999999,0.4533076643109128
75% Corpus,5,0.61,symmetric,0.44973649966506307
75% Corpus,5,0.9099999999999999,0.01,0.44418466070706264
75% Corpus,5,0.9099999999999999,0.31,0.4519301227369102
75% Corpus,5,0.9099999999999999,0.61,0.4482411749480293
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.446671371971591
75% Corpus,5,0.9099999999999999,symmetric,0.4477485865429963
75% Corpus,5,symmetric,0.01,0.4441131068944103
75% Corpus,5,symmetric,0.31,0.422888633535407
75% Corpus,5,symmetric,0.61,0.43012062105245075
75% Corpus,5,symmetric,0.9099999999999999,0.4449340165239059
75% Corpus,5,symmetric,symmetric,0.4306221708768967
75% Corpus,5,asymmetric,0.01,0.4917797155534337
75% Corpus,5,asymmetric,0.31,0.478988356949941
75% Corpus,5,asymmetric,0.61,0.45211225522960186
75% Corpus,5,asymmetric,0.9099999999999999,0.41405368052336533
75% Corpus,5,asymmetric,symmetric,0.47162893480501705
75% Corpus,6,0.01,0.01,0.43072122928656387
75% Corpus,6,0.01,0.31,0.4323840808163745
75% Corpus,6,0.01,0.61,0.4357838349800649
75% Corpus,6,0.01,0.9099999999999999,0.42864421745668474
75% Corpus,6,0.01,symmetric,0.42611306217798356
75% Corpus,6,0.31,0.01,0.45055044701649966
75% Corpus,6,0.31,0.31,0.4677655812382851
75% Corpus,6,0.31,0.61,0.460793570549398
75% Corpus,6,0.31,0.9099999999999999,0.46262129505393507
75% Corpus,6,0.31,symmetric,0.46019757043524573
75% Corpus,6,0.61,0.01,0.45615573359574696
75% Corpus,6,0.61,0.31,0.46694632678966436
75% Corpus,6,0.61,0.61,0.46830864615210444
75% Corpus,6,0.61,0.9099999999999999,0.46856644347622645
75% Corpus,6,0.61,symmetric,0.4578998906055097
75% Corpus,6,0.9099999999999999,0.01,0.4448297616996247
75% Corpus,6,0.9099999999999999,0.31,0.46524494088903
75% Corpus,6,0.9099999999999999,0.61,0.46382146749548325
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4709610970629065
75% Corpus,6,0.9099999999999999,symmetric,0.45060419515035566
75% Corpus,6,symmetric,0.01,0.4509919362124704
75% Corpus,6,symmetric,0.31,0.462912740093147
75% Corpus,6,symmetric,0.61,0.44097879579893795
75% Corpus,6,symmetric,0.9099999999999999,0.4567641960866236
75% Corpus,6,symmetric,symmetric,0.43329609909527084
75% Corpus,6,asymmetric,0.01,0.43993567466727485
75% Corpus,6,asymmetric,0.31,0.44364192106523076
75% Corpus,6,asymmetric,0.61,0.4915483883293084
75% Corpus,6,asymmetric,0.9099999999999999,0.423245434569923
75% Corpus,6,asymmetric,symmetric,0.4331605488691537
75% Corpus,7,0.01,0.01,0.42729960577906884
75% Corpus,7,0.01,0.31,0.4265364705203929
75% Corpus,7,0.01,0.61,0.4297130473343297
75% Corpus,7,0.01,0.9099999999999999,0.43499680613310987
75% Corpus,7,0.01,symmetric,0.4247629357651245
75% Corpus,7,0.31,0.01,0.45112213856852174
75% Corpus,7,0.31,0.31,0.40913335559650327
75% Corpus,7,0.31,0.61,0.41400614885845516
75% Corpus,7,0.31,0.9099999999999999,0.42372178700461777
75% Corpus,7,0.31,symmetric,0.4331932786893909
75% Corpus,7,0.61,0.01,0.45686116003946325
75% Corpus,7,0.61,0.31,0.48200557566059754
75% Corpus,7,0.61,0.61,0.4728612285140262
75% Corpus,7,0.61,0.9099999999999999,0.47403037596105835
75% Corpus,7,0.61,symmetric,0.46188329651218124
75% Corpus,7,0.9099999999999999,0.01,0.45036888510095974
75% Corpus,7,0.9099999999999999,0.31,0.47696093351452074
75% Corpus,7,0.9099999999999999,0.61,0.48842365566671625
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.49144267453352714
75% Corpus,7,0.9099999999999999,symmetric,0.4481091778724227
75% Corpus,7,symmetric,0.01,0.4590014687130287
75% Corpus,7,symmetric,0.31,0.4163951437404235
75% Corpus,7,symmetric,0.61,0.4304148868523872
75% Corpus,7,symmetric,0.9099999999999999,0.42052785962664163
75% Corpus,7,symmetric,symmetric,0.42946036530837955
75% Corpus,7,asymmetric,0.01,0.48525306655425504
75% Corpus,7,asymmetric,0.31,0.4462968107346125
75% Corpus,7,asymmetric,0.61,0.4617606172882621
75% Corpus,7,asymmetric,0.9099999999999999,0.45950801560447624
75% Corpus,7,asymmetric,symmetric,0.4972645221138361
75% Corpus,8,0.01,0.01,0.4577931741456531
75% Corpus,8,0.01,0.31,0.4444105499510844
75% Corpus,8,0.01,0.61,0.45942001737747223
75% Corpus,8,0.01,0.9099999999999999,0.433445468979921
75% Corpus,8,0.01,symmetric,0.45877264092587416
75% Corpus,8,0.31,0.01,0.4486649618778641
75% Corpus,8,0.31,0.31,0.4591740014704977
75% Corpus,8,0.31,0.61,0.47530729964732216
75% Corpus,8,0.31,0.9099999999999999,0.4849577637613446
75% Corpus,8,0.31,symmetric,0.44634076498552633
75% Corpus,8,0.61,0.01,0.4452148602564762
75% Corpus,8,0.61,0.31,0.4543878533166813
75% Corpus,8,0.61,0.61,0.46330625195658254
75% Corpus,8,0.61,0.9099999999999999,0.4664331846907619
75% Corpus,8,0.61,symmetric,0.45859371318220143
75% Corpus,8,0.9099999999999999,0.01,0.4538217460995344
75% Corpus,8,0.9099999999999999,0.31,0.46813634555410366
75% Corpus,8,0.9099999999999999,0.61,0.48223815967443545
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4766698884896584
75% Corpus,8,0.9099999999999999,symmetric,0.4617553321092297
75% Corpus,8,symmetric,0.01,0.4558526491408537
75% Corpus,8,symmetric,0.31,0.4463629224279714
75% Corpus,8,symmetric,0.61,0.4600985436524546
75% Corpus,8,symmetric,0.9099999999999999,0.45837974666820636
75% Corpus,8,symmetric,symmetric,0.4582951984558499
75% Corpus,8,asymmetric,0.01,0.42548374768427166
75% Corpus,8,asymmetric,0.31,0.4180101479833177
75% Corpus,8,asymmetric,0.61,0.48826264130276836
75% Corpus,8,asymmetric,0.9099999999999999,0.4623084151594261
75% Corpus,8,asymmetric,symmetric,0.4227741999634268
75% Corpus,9,0.01,0.01,0.42439326366464886
75% Corpus,9,0.01,0.31,0.4570490414166513
75% Corpus,9,0.01,0.61,0.421375776494435
75% Corpus,9,0.01,0.9099999999999999,0.40634760952247284
75% Corpus,9,0.01,symmetric,0.4152871658632233
75% Corpus,9,0.31,0.01,0.4330304395671616
75% Corpus,9,0.31,0.31,0.4355229440889884
75% Corpus,9,0.31,0.61,0.43446825039070636
75% Corpus,9,0.31,0.9099999999999999,0.4517610080164593
75% Corpus,9,0.31,symmetric,0.4250655483253649
75% Corpus,9,0.61,0.01,0.45968604805204155
75% Corpus,9,0.61,0.31,0.45146591551103515
75% Corpus,9,0.61,0.61,0.452609917841801
75% Corpus,9,0.61,0.9099999999999999,0.44834401581122374
75% Corpus,9,0.61,symmetric,0.4467201670719162
75% Corpus,9,0.9099999999999999,0.01,0.47224784598542424
75% Corpus,9,0.9099999999999999,0.31,0.4932291730951061
75% Corpus,9,0.9099999999999999,0.61,0.4906707989429726
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.48360434458792173
75% Corpus,9,0.9099999999999999,symmetric,0.48723133694965803
75% Corpus,9,symmetric,0.01,0.44625449295688274
75% Corpus,9,symmetric,0.31,0.4297446942601186
75% Corpus,9,symmetric,0.61,0.43491004457483495
75% Corpus,9,symmetric,0.9099999999999999,0.43803890043742144
75% Corpus,9,symmetric,symmetric,0.43373104520832084
75% Corpus,9,asymmetric,0.01,0.4484420728295206
75% Corpus,9,asymmetric,0.31,0.47007059514388366
75% Corpus,9,asymmetric,0.61,0.453689883751116
75% Corpus,9,asymmetric,0.9099999999999999,0.46830153936616903
75% Corpus,9,asymmetric,symmetric,0.40190318653897583
100% Corpus,3,0.01,0.01,0.405526393162968
100% Corpus,3,0.01,0.31,0.3873162233097396
100% Corpus,3,0.01,0.61,0.37850058714140883
100% Corpus,3,0.01,0.9099999999999999,0.3850919047012482
100% Corpus,3,0.01,symmetric,0.3957744131065108
100% Corpus,3,0.31,0.01,0.41481208957589644
100% Corpus,3,0.31,0.31,0.3918356385599249
100% Corpus,3,0.31,0.61,0.39556042832428223
100% Corpus,3,0.31,0.9099999999999999,0.39898366173303224
100% Corpus,3,0.31,symmetric,0.3899658608001871
100% Corpus,3,0.61,0.01,0.3935135356816603
100% Corpus,3,0.61,0.31,0.39949073196470586
100% Corpus,3,0.61,0.61,0.40115725006065944
100% Corpus,3,0.61,0.9099999999999999,0.39467932760886687
100% Corpus,3,0.61,symmetric,0.397180555205863
100% Corpus,3,0.9099999999999999,0.01,0.4000575119262629
100% Corpus,3,0.9099999999999999,0.31,0.3987296651359326
100% Corpus,3,0.9099999999999999,0.61,0.3990555691455749
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3952415342358522
100% Corpus,3,0.9099999999999999,symmetric,0.40165565468501807
100% Corpus,3,symmetric,0.01,0.40848709526493726
100% Corpus,3,symmetric,0.31,0.394523646140518
100% Corpus,3,symmetric,0.61,0.3920276073829547
100% Corpus,3,symmetric,0.9099999999999999,0.39898366173303224
100% Corpus,3,symmetric,symmetric,0.392725840288669
100% Corpus,3,asymmetric,0.01,0.42774439718788515
100% Corpus,3,asymmetric,0.31,0.4725683518275931
100% Corpus,3,asymmetric,0.61,0.4154495992065721
100% Corpus,3,asymmetric,0.9099999999999999,0.41698385885371336
100% Corpus,3,asymmetric,symmetric,0.471120583280536
100% Corpus,4,0.01,0.01,0.41586397659064644
100% Corpus,4,0.01,0.31,0.4007873100571967
100% Corpus,4,0.01,0.61,0.3963795675031093
100% Corpus,4,0.01,0.9099999999999999,0.3997697631256521
100% Corpus,4,0.01,symmetric,0.3917467501972335
100% Corpus,4,0.31,0.01,0.42275667455840704
100% Corpus,4,0.31,0.31,0.4223359074920496
100% Corpus,4,0.31,0.61,0.4203995505795922
100% Corpus,4,0.31,0.9099999999999999,0.41923587751983693
100% Corpus,4,0.31,symmetric,0.415446573082186
100% Corpus,4,0.61,0.01,0.42938665277484567
100% Corpus,4,0.61,0.31,0.44666110606613757
100% Corpus,4,0.61,0.61,0.44539033246582965
100% Corpus,4,0.61,0.9099999999999999,0.44782978379771815
100% Corpus,4,0.61,symmetric,0.43765089036814797
100% Corpus,4,0.9099999999999999,0.01,0.42810168092077533
100% Corpus,4,0.9099999999999999,0.31,0.4426548594015873
100% Corpus,4,0.9099999999999999,0.61,0.4455405669281023
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4504154141266336
100% Corpus,4,0.9099999999999999,symmetric,0.43957977945947935
100% Corpus,4,symmetric,0.01,0.4199066641933734
100% Corpus,4,symmetric,0.31,0.4068397562241604
100% Corpus,4,symmetric,0.61,0.41904057480522355
100% Corpus,4,symmetric,0.9099999999999999,0.4205476957307308
100% Corpus,4,symmetric,symmetric,0.4117347001144457
100% Corpus,4,asymmetric,0.01,0.41885166226612736
100% Corpus,4,asymmetric,0.31,0.41160576670170174
100% Corpus,4,asymmetric,0.61,0.42379696495276115
100% Corpus,4,asymmetric,0.9099999999999999,0.4563975623050241
100% Corpus,4,asymmetric,symmetric,0.39729623103556
100% Corpus,5,0.01,0.01,0.438953041055119
100% Corpus,5,0.01,0.31,0.4450552908996235
100% Corpus,5,0.01,0.61,0.44044855569790897
100% Corpus,5,0.01,0.9099999999999999,0.4117846394605828
100% Corpus,5,0.01,symmetric,0.42067313193092504
100% Corpus,5,0.31,0.01,0.4387801100028864
100% Corpus,5,0.31,0.31,0.43799833334568783
100% Corpus,5,0.31,0.61,0.4316455302061225
100% Corpus,5,0.31,0.9099999999999999,0.4340519904326564
100% Corpus,5,0.31,symmetric,0.44629198727108504
100% Corpus,5,0.61,0.01,0.43455145441228826
100% Corpus,5,0.61,0.31,0.44549703475821933
100% Corpus,5,0.61,0.61,0.4465644579316016
100% Corpus,5,0.61,0.9099999999999999,0.4445869546186782
100% Corpus,5,0.61,symmetric,0.4514891601721015
100% Corpus,5,0.9099999999999999,0.01,0.43700133991209766
100% Corpus,5,0.9099999999999999,0.31,0.44142038271737005
100% Corpus,5,0.9099999999999999,0.61,0.44265388520966564
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.4615026814064146
100% Corpus,5,0.9099999999999999,symmetric,0.4437299871573005
100% Corpus,5,symmetric,0.01,0.43203384143991397
100% Corpus,5,symmetric,0.31,0.43497998973121393
100% Corpus,5,symmetric,0.61,0.4160644996759687
100% Corpus,5,symmetric,0.9099999999999999,0.44113481891441325
100% Corpus,5,symmetric,symmetric,0.4226773365614071
100% Corpus,5,asymmetric,0.01,0.46514407711955996
100% Corpus,5,asymmetric,0.31,0.4767699838963864
100% Corpus,5,asymmetric,0.61,0.46143020981336635
100% Corpus,5,asymmetric,0.9099999999999999,0.47588755329104887
100% Corpus,5,asymmetric,symmetric,0.46233793774702125
100% Corpus,6,0.01,0.01,0.45098691202183233
100% Corpus,6,0.01,0.31,0.4316758848727535
100% Corpus,6,0.01,0.61,0.4376151559463127
100% Corpus,6,0.01,0.9099999999999999,0.42482588209480315
100% Corpus,6,0.01,symmetric,0.4252849307959638
100% Corpus,6,0.31,0.01,0.4480985621869246
100% Corpus,6,0.31,0.31,0.4679109460070354
100% Corpus,6,0.31,0.61,0.4654840687960939
100% Corpus,6,0.31,0.9099999999999999,0.46604417720342917
