,t1,t2,t3,t4,t5,t6,t7,t8,t9
0,0.28238714,0.08436398,0.05320083,0.03339375,0.16177876,0.025937112,0.19498678,0.05837599,0.10557565
1,0.20488495,0.15520853,0.05494987,0.05589011,0.28738555,0.05470723,0.058418103,0.061351497,0.06720421
2,0.05203748,0.20122987,0.14560553,0.07684785,0.15571873,0.17790501,0.03296228,0.056453772,0.101239435
3,0.22237636,0.104968086,0.031250983,0.17137547,0.10750581,0.11159073,0.1843778,0.034981426,0.03157331
4,0.0728026,0.05623479,0.042328168,0.044691514,0.055214,0.042991433,0.05007878,0.047540177,0.5881185
5,0.11464304,0.067851275,0.045008983,0.1237345,0.023840956,0.121184506,0.1255089,0.038243454,0.33998442
6,0.3112513,0.022331953,0.06436815,0.064975634,0.17246495,0.24184659,0.08037833,0.023186995,0.019196054
7,0.12751517,0.045097154,0.16875581,0.029297464,0.102740094,0.39329657,0.07119463,0.03593139,0.026171742
8,0.1827595,0.04179186,0.075479396,0.095347755,0.2505596,0.07561961,0.15572025,0.04868801,0.074034005
9,0.07502302,0.19012482,0.06280076,0.0707221,0.1867356,0.06333078,0.14477688,0.067410655,0.13907538
10,0.04639433,0.06694703,0.060551874,0.13204598,0.048150867,0.05441272,0.06120378,0.3192314,0.21106201
11,0.33254552,0.12881412,0.03966956,0.053580415,0.15200882,0.12709214,0.042560603,0.039531976,0.08419687
12,0.14909708,0.2696925,0.036945518,0.061066072,0.062711604,0.11921508,0.081371024,0.102217145,0.11768396
13,0.062638484,0.1171721,0.13467509,0.053064354,0.27923214,0.04868013,0.045514338,0.08097049,0.1780529
14,0.056538686,0.061072193,0.13562408,0.20777044,0.27336934,0.05776033,0.08043299,0.08185709,0.04557487
15,0.11474993,0.08095781,0.14318849,0.3042893,0.06334684,0.08665204,0.07437055,0.059372097,0.07307287
16,0.058763187,0.11222626,0.060846537,0.23244095,0.20844254,0.064795814,0.083327085,0.07528121,0.10387644
17,0.1070736,0.09325786,0.15623128,0.0341835,0.22001955,0.041372467,0.14493026,0.04920654,0.15372497
18,0.23443648,0.038823966,0.043086708,0.03606925,0.05407714,0.3038213,0.08563519,0.16392696,0.04012294
19,0.109800294,0.043838907,0.09284238,0.03092489,0.036597274,0.06392741,0.06653419,0.17630185,0.37923276
20,0.124110535,0.052004073,0.07546389,0.2293306,0.16921549,0.050060097,0.14018424,0.1065125,0.053118605
21,0.09274804,0.10072213,0.15547885,0.24361695,0.117133915,0.107433304,0.08122302,0.045827545,0.055816237
22,0.2350822,0.30887797,0.07017088,0.057386745,0.05267335,0.06353221,0.087130174,0.032465074,0.09268138
23,0.041263405,0.15729748,0.06498077,0.043671817,0.13908903,0.22857235,0.21895714,0.03953617,0.06663186
24,0.43014368,0.11385957,0.02894818,0.076999605,0.1405382,0.03191566,0.038430892,0.051858965,0.08730521
25,0.19845213,0.024987586,0.025088925,0.2015733,0.09570027,0.022781014,0.06333265,0.19430594,0.1737782
26,0.04668507,0.04209769,0.03824463,0.23621778,0.24804552,0.036350325,0.1736181,0.042876963,0.1358639
27,0.08914669,0.034803674,0.14421456,0.042310253,0.22168724,0.18926226,0.037021067,0.026531037,0.2150232
28,0.059517074,0.05574314,0.30177796,0.1563247,0.058945194,0.06291463,0.063840576,0.10117247,0.1397643
29,0.17426056,0.033841286,0.03568423,0.13941331,0.057961676,0.1341542,0.05334943,0.0362645,0.33507076
30,0.17439784,0.046848636,0.10711131,0.2622618,0.023296798,0.23825191,0.053119928,0.023470823,0.071240954
